101,Rok,Cislo,Strana
001594687,1919,299,2
001594688,1938,311,9
001594695,1948,251,7
001594696,1947,498,7
001594697,1947,546,7
001594698,1940,123,9
001594702,1903,235,3
001594704,1938,521,9
001594706,1947,85,7
001594707,1947,146,6
001594738,1945,336,7
001594761,1937,432,9
001594762,1943,397,9
001594765,1936,229,7
001594772,1950,231,4
001594784,1929,16,9
001594791,1944,558,9
001594792,1944,620,9
001594793,1944,633,10
001594794,1946,63,9
001594795,1946,550,6
001594796,1946,586,4
001594797,1946,304,7
001594825,1945,27,2
001594829,1938,340,7
001594830,1938,475,9
001594831,1943,46,7
001594847,1933,458,7
001594890,1944,290,7
001594891,1945,153,9
001594903,1949,77,7
001594929,1941,497,9
001594932,1947,325,7
