,101,Rok,Cislo,Strana,URL
77,1588057,1909,33.0,2.0,https://www.ndk.cz/view/uuid:c10480e2-435d-11dd-b505-00145e5790ea?page=uuid:a9b3e954-6a81-4eb1-aa30-69a19419ba6f
78,1588105,1935,592.0,3.0,https://www.ndk.cz/view/uuid:135cb9a0-2686-11dd-99bc-000d606f5dc6?page=uuid:c776e210-8fcb-48a2-910d-16d3c908c744
79,1588146,1919,78.0,1.0,https://www.ndk.cz/view/uuid:268205e0-61e6-11dc-8422-000d606f5dc6?page=uuid:7e51ec0d-807d-4975-8269-609a76db1dc9
80,1588199,1925,45.0,1.0,https://www.ndk.cz/view/uuid:59cef240-8c71-11dc-a6aa-000d606f5dc6?page=uuid:c941cdfd-22d4-4010-86f6-b70daf6c40f9
81,1588203,1925,356.0,2.0,https://www.ndk.cz/view/uuid:e0af3670-865a-11dc-91f7-000d606f5dc6?page=uuid:b3dd727e-e707-47e9-9dd2-c5e8ead71168
82,1588617,1919,257.0,3.0,https://www.ndk.cz/view/uuid:25daa250-61e6-11dc-8af2-000d606f5dc6?page=uuid:5b2abab6-f41b-46e1-9e7e-acc7323cb984
83,1588805,1938,348.0,7.0,https://www.ndk.cz/view/uuid:e7c1fb30-48d0-11dd-b080-000d606f5dc6?page=uuid:dd2aad38-5e38-4c15-b7ab-edeb95152d12
84,1588901,1919,228.0,3.0,https://www.ndk.cz/view/uuid:263a4e80-61e6-11dc-8f5b-000d606f5dc6?page=uuid:9f7b7efd-cfb0-4e75-954c-04b5970bb254
85,1588902,1919,329.0,1.0,https://www.ndk.cz/view/uuid:269bf680-61e6-11dc-8de3-000d606f5dc6?page=uuid:6f4e5f51-37d4-4eef-adc6-7ae6c1353981
86,1588902,1919,329.0,1.0,https://www.ndk.cz/view/uuid:269bf680-61e6-11dc-827b-000d606f5dc6?page=uuid:938f6f3c-ead5-42ae-bbba-7174ecb14ab9
87,1589779,1919,329.0,1.0,https://www.ndk.cz/view/uuid:269bf680-61e6-11dc-8de3-000d606f5dc6?page=uuid:6f4e5f51-37d4-4eef-adc6-7ae6c1353981
88,1589779,1919,329.0,1.0,https://www.ndk.cz/view/uuid:269bf680-61e6-11dc-827b-000d606f5dc6?page=uuid:938f6f3c-ead5-42ae-bbba-7174ecb14ab9
89,1588903,1919,328.0,3.0,https://www.ndk.cz/view/uuid:269bf680-61e6-11dc-8d5b-000d606f5dc6?page=uuid:4783a7e3-a7d5-4b7c-b1ef-a8fa5fa0d07f
90,1589011,1935,526.0,7.0,https://www.ndk.cz/view/uuid:fe90f270-25ea-11dd-b3cf-000d606f5dc6?page=uuid:06572cf6-e5ab-45d6-8813-5970f39ed394
91,1589011,1935,526.0,7.0,https://www.ndk.cz/view/uuid:72fa4710-25eb-11dd-ab76-000d606f5dc6?page=uuid:29d9275e-247c-4fa7-90fd-cad263a7e18c
92,1589413,1935,477.0,7.0,https://www.ndk.cz/view/uuid:f2e948a0-268a-11dd-b7a3-000d606f5dc6?page=uuid:efa22758-f179-414e-900f-25b8123c3367
