001587144,43:365<5
001587145,45:308<5
001587146,45:145<2
001587147,45:177<5
001587148,45:118<12
001587149,45:250<5
001587150,45:95<3
001587151,45:83<2
001587152,45:74<2
001587153,45:58<7
001587154,45:15<9
001587155,45:8<3
001587156,43:518<4
001587164,38:497<3
001587166,36:658<1
001587167,36:115<8
001587168,36:186<5
001587169,36:150<2
001587170,36:565<1
001587174,36:269<34
001587175,36:495<1
001587176,36:367<4
001587177,36:331<17
001587179,46:486<4
001587180,50:235<3
001587181,50:70<3
001587182,50:185<3
001587183,50:109<3
001587184,50:57<1
001587185,50:96<3
001587186,50:148<3
001587187,52:182<4
001587188,50:324<3
001587189,50:57<9
001587190,50:222<3
001587191,50:122<3
001587192,50:211<3
001587193,50:272<3
001587194,50:1<1
001587195,50:83<3
001587196,50:70<3
001587197,50:57<1
001587198,50:83<3
001587199,50:148<3
001587200,50:135<3
001587201,50:122<3
001587202,50:109<3
001587203,50:96<3
001587204,50:135<3
001587205,50:198<3
001587206,50:161<4
001587207,50:198<3
001587208,50:185<3
001587209,50:174<3
001587210,50:222<3
001587211,50:211<3
001587212,50:285<3
001587213,50:272<3
001587214,50:261<3
001587215,50:248<3
001587216,50:235<3
001587217,50:311<3
001587218,50:298<3
001587225,4:51<2
001587226,4:270<2
001587227,49:339<7
001587228,49:250<8
001587229,49:238<2
001587230,49:612<1
001587231,49:612<1
001587232,4:279<2
001587233,46:611<3
001587283,47:603<2
001587284,47:480<3
001587285,47:316<3
001587286,18:358<2
001587287,18:329<4
001587288,18:10<3
001587289,33:569<2
001587294,35:647<22
001587295,35:647<23
001587296,35:616<6
001587297,35:618<7
001587305,35:96<1
001587306,35:96<3
001587307,35:104<7
001587308,35:498<3
001587309,35:592<5
001587310,44:591<12
001587316,29:386<9
001587336,47:136<2
001587337,47:124<7
001587338,47:4<7
001587348,35:61<1
001587373,40:218<7
001587378,41:275<9
001587379,39:485<10
001587380,39:598<9
001587381,39:446<10
001587382,39:403<9
001587383,39:164<9
001587387,38:220<3
001587391,19:26<2
001587417,35:172<7
001587429,19:178<3
001587550,48:463<2
001587559,47:202<3
001587560,18:304<1
001587561,17:122<5
001587612,18:161<5
001587683,18:205<3
001587831,41:611<9
001587841,47:24<2
001587847,48:298<7
001587848,18:221<1
001587851,46:117<10
001587861,47:161<7
001587944,46:180<9
001587948,29:169<9
001587961,43:649<6
001587962,41:393<7
001587965,41:593<10
001587966,41:457<7
001587970,43:606<9
001587971,43:397<9
001587972,43:350<7
001587973,43:196<7
001587975,36:201<7
001587976,38:53<9
001587977,44:245<9
001587978,39:14<9
001587980,33:2<7
001587981,44:460<9
001587982,36:626<8
001587984,9:258<4
001587995,48:450<7
001587996,48:116<7
001588004,47:423<7
001588057,9:33<2
001588078,19:71<1
001588098,33:212<1
001588101,34:613<2
001588104,35:558<1
